"","kappa","C","LR","modelR","LRstar","diversity"
"Sample_134886_R1_trim",0.42279,0.455232495193447,2501765172.446,0.999065371665127,530032739236.129,21.7376217459954
"Sample_134887_R1_trim",0.67873,0.701699174297236,5228148820.684,0.999797227140705,88152324091.937,20.7668316529018
"Sample_134888_R1_trim",0.49029,0.521239168382838,5383609485.52699,0.998625928399693,397209242150.817,22.1189218028212
"Sample_134889_R1_trim",0.38806,0.420924685044867,884157000.768,0.999216535012747,117027949734.266,20.899396639158
"Sample_134890_R1_trim",0.99692,0.99718413875859,4816825516.86901,0.996614248832059,309410212.797031,16.8088706869861
"1581-PDU-10_R1_trim",0.7154,0.736275462159732,3661790744.30401,0.99948845117649,42843764219.5192,20.0768796170616
"1581-PDU-11_R1_trim",0.69266,0.714852269996774,3065060666.08001,0.998529744040281,150368217038.892,19.2974187707934
"1581-PDU-12_R1_trim",0.70957,0.730788709559258,3770507738.552,0.999649213716713,47494146674.2227,20.1648730880776
"1581-PDU-13_R1_trim",0.53008,0.559777037579686,3129385242.795,0.99977092190381,545356488080.975,21.0161549715809
"1581-PDU-14_R1_trim",0.57409,0.602114201034911,2313273037.14,0.999776862600315,70522103068.2694,20.6946860192681
"1581-PDU-15_R1_trim",0.69083,0.713125638610854,3010966349.69501,0.999576731825527,91825234570.7635,19.6392712261582
"1581-PDU-16_R1_trim",0.70092,0.72264084104227,3380137606.513,0.999864097806171,54367790778.3646,20.1007218195902
"1581-PDU-17_R1_trim",0.70905,0.730299137490641,3383426663.722,0.999772992392088,91359404650.755,19.6225332657063
"1581-PDU-18_R1_trim",0.6902,0.712531133683736,3677635195.479,0.999572636752173,58016882332.3604,20.2347939825701
"1581-PDU-19_R1_trim",0.6496,0.674118189385246,3241112142.09501,0.999546615618646,120623165194.96,20.1439161809929
"1581-PDU-20_R1_trim",0.69667,0.718634394748365,3765096854.502,0.999554250894139,52252695130.8429,20.2480961789471
"1581-PDU-21_R1_trim",0.63413,0.659427873450521,3384476815.979,0.999862880312346,197126097247.378,20.2731966009064
"1581-PDU-22_R1_trim",0.66698,0.690586474479903,3610198464.406,0.999545528205556,61673259280.7003,20.4408718981913
"1581-PDU-23_R1_trim",0.66459,0.68832405517019,2952843287.93999,0.999621703862533,163877381078.728,19.7323949233699
"1581-PDU-24_R1_trim",0.64709,0.671736753256015,3338787543.62401,0.999584391845155,62973795566.7929,20.5321443275156
"1581-PDU-25_R1_trim",0.63088,0.656337783360628,3007892225.7,0.999713149684704,209855662904.323,20.0877445034565
"1581-PDU-26_R1_trim",0.65802,0.6821011593454,3360277837.43201,0.999491765413528,63313622529.1833,20.3980705862964
"1581-PDU-27_R1_trim",0.49821,0.528930696334762,2955778052.47699,0.999246884460646,645030462340.521,21.1236163559141
"1581-PDU-28_R1_trim",0.62128,0.647202118263989,3736515761.13,0.999766874918575,101284478357.072,20.7817056976932
"1581-PDU-29_R1_trim",0.63381,0.659123678902098,3092844025.23699,0.999139500588176,241765435249.29,19.9314904069246
"1581-PDU-30_R1_trim",0.65759,0.681693691470909,3354060448.43999,0.999834364946886,65390924559.7898,20.4728150605957
"1581-PDU-31_R1_trim",0.53733,0.566771604359343,3267430784.8,0.99953362983073,437689640586.775,20.9757901861685
"1581-PDU-32_R1_trim",0.6508,0.675256445213797,3314635516.226,0.999579969152117,66253288113.2683,20.4471942694677
"1581-PDU-33_R1_trim",0.64203,0.666933514330674,3367584109.572,0.999122837329526,152146536090.925,20.1136689237851
"1581-PDU-34_R1_trim",0.66829,0.691826249794396,3320926886.984,0.999620267307607,54114703600.1334,20.3866672924838
"1581-PDU-35_R1_trim",0.64913,0.673672323320909,2907264242.856,0.999387306592228,169400733192.711,19.8197920462774
"1581-PDU-36_R1_trim",0.67195,0.695288944889215,3433642255.44,0.999744368970373,60345041987.2916,20.3521746244566
"1581-PDU-37_R1_trim",0.52682,0.556629222388916,3002709367.917,0.999816730076708,375421148020.655,21.0824712308633
"1581-PDU-38_R1_trim",0.66833,0.691864102243498,3410418454.58399,0.999363935676216,56691136430.3175,20.3445339137877
"1581-PDU-39_R1_trim",0.53018,0.559873569996249,3309528670.96401,0.999740914923177,404746397870.977,21.1116376989145
"1581-PDU-3_R1_trim",0.60788,0.634429921541153,3440406710.615,0.999420291524744,124158160364.177,20.6422250678512
"1581-PDU-40_R1_trim",0.67658,0.699667029956778,3605617565.968,0.999534962003558,54954976020.7739,20.3796263096903
"1581-PDU-41_R1_trim",0.44439,0.476446796983368,3069666399.87,0.999613715097765,407257128227.987,21.7539027614512
"1581-PDU-42_R1_trim",0.66506,0.688769021196212,3402012992.154,0.99967852060327,61884580923.3011,20.4019323615851
"1581-PDU-43_R1_trim",0.56639,0.594727612204812,3459125515.79999,0.999888512804516,341203253370.337,20.8777507812863
"1581-PDU-44_R1_trim",0.66721,0.690804160078325,3557974571.2,0.99940507879366,61564095057.7791,20.3834243866544
"1581-PDU-45_R1_trim",0.54236,0.571619619828991,3094782843.744,0.99988501047971,242280168144.018,21.0396249062977
"1581-PDU-46_R1_trim",0.67188,0.695222733700662,3298611922.474,0.999452658781265,54463022097.952,20.2812198729173
"1581-PDU-47_R1_trim",0.58681,0.614297893325803,3143112940.125,0.999901652836116,216901507758.814,20.6841727536054
"1581-PDU-48_R1_trim",0.6748,0.697984183868111,3461174601.094,0.999420950406073,54647282804.9818,20.3191390716941
"1581-PDU-49_R1_trim",0.52932,0.559043340080125,3249865588.288,0.999690907025415,310588508415.103,21.1344528299984
"1581-PDU-4_R1_trim",0.71303,0.73404546339629,3395034241.2,0.999441603924581,41486401864.912,20.0074915719295
"1581-PDU-50_R1_trim",0.65232,0.676697977242035,3000310222.58101,0.999626187286697,62308653335.403,20.340207309247
"1581-PDU-51_R1_trim",0.49875,0.529454734504468,3405826147.472,0.999790986616541,454575887294.676,21.4129483418877
"1581-PDU-52_R1_trim",0.66531,0.689005694248788,4018049656.50001,0.999325234209396,73180980249.4064,20.4619906708822
